"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.295708333E-3,-2.475402374E0,5.515131226E0,7.025490417E0,9.268322661E0
1.124870833E-2,-2.505340118E0,5.420378265E0,7.401807861E0,9.510204481E0
2.120070833E-2,-2.444566498E0,5.458997955E0,7.565567322E0,9.644395934E0
3.115270833E-2,-2.427801361E0,5.499862976E0,7.444169769E0,9.568614098E0
4.110470833E-2,-2.436632996E0,5.560337219E0,7.283104706E0,9.481463205E0
5.105770833E-2,-2.418221283E0,5.623206482E0,7.084767151E0,9.362807853E0
6.100970833E-2,-2.332749023E0,5.646258545E0,6.833140411E0,9.165902107E0
7.096170833E-2,-2.273023224E0,5.650898895E0,6.791077881E0,9.122391774E0
8.091470833E-2,-2.299368439E0,5.658383331E0,7.068900146E0,9.342041876E0
9.086670833E-2,-2.433639221E0,5.642965393E0,7.435188446E0,9.646122823E0
1.008187083E-1,-2.558329926E0,5.619015198E0,7.672295380E0,9.847969344E0
1.107717083E-1,-2.599194946E0,5.618865509E0,7.889344025E0,1.002842027E1
1.207237083E-1,-2.611170044E0,5.619464264E0,8.103398895E0,1.020106177E1
1.306757083E-1,-2.456691284E0,5.558540955E0,8.262218628E0,1.025655723E1
1.406277083E-1,-2.180216217E0,5.458548889E0,8.246351624E0,1.012676720E1
1.505807083E-1,-1.855092316E0,5.147795105E0,8.090675354E0,9.767302065E0
1.605327083E-1,-1.481319580E0,4.580923920E0,7.742200012E0,9.117062722E0
1.704847083E-1,-1.393901367E0,4.925806732E0,7.185956726E0,8.822953420E0
1.804377083E-1,-9.572593689E-1,5.539979553E0,6.839577026E0,8.853673410E0
1.903897083E-1,1.260977783E0,5.663173370E0,7.264842682E0,9.297286528E0
2.003417083E-1,2.344724121E0,4.988376617E0,7.879763947E0,9.616252510E0
2.102937083E-1,5.433700562E-2,4.084855499E0,8.089477844E0,9.062485793E0
2.202467083E-1,-6.909631348E-1,4.158801727E0,8.507708130E0,9.494954422E0
2.301987083E-1,-4.993615723E-1,4.596641235E0,8.937763824E0,1.006290688E1
2.401507083E-1,1.486408997E-1,4.602479095E0,9.575138397E0,1.062488509E1
2.501037083E-1,8.629554749E-1,3.952530670E0,1.026280838E1,1.103142904E1
2.600557083E-1,1.681004333E0,3.077899475E0,1.081186661E1,1.136642865E1
2.700073333E-1,2.892135773E0,2.849474487E0,1.030801437E1,1.107876864E1
