"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.251958329E-3	9.360035706E-1	1.003812561E1	2.246378632E0	1.032890533E1
1.222295833E-2	7.408094788E-1	9.968670044E0	2.372865601E0	1.027393169E1
2.219495833E-2	4.754113770E-1	9.780810699E0	2.202370148E0	1.003696708E1
3.216695833E-2	2.143542480E-1	9.668993225E0	1.924398193E0	9.860967809E0
4.213795833E-2	-6.646179199E-2	9.521849213E0	1.759141846E0	9.683212774E0
5.210995833E-2	-1.939965820E-1	9.393116913E0	1.681902466E0	9.544478818E0
6.208195833E-2	-2.356100464E-1	9.355844421E0	1.726958771E0	9.516812677E0
7.205395833E-2	-1.357676697E-1	9.390871582E0	1.990111542E0	9.600387798E0
8.202495833E-2	-3.038681030E-2	9.447753296E0	2.114802246E0	9.681598744E0
9.199695833E-2	-6.780899048E-2	9.538314972E0	2.003882904E0	9.746773684E0
1.019689583E-1	-5.089416504E-2	9.594597931E0	1.863774261E0	9.774075617E0
1.119409583E-1	-6.735992432E-2	9.613159332E0	1.704804840E0	9.763387181E0
1.219119583E-1	-2.544708252E-1	9.575737152E0	1.766775970E0	9.740687591E0
1.318839583E-1	-4.625381470E-1	9.481732635E0	1.916165314E0	9.684466161E0
1.418559583E-1	-5.098397827E-1	9.375303955E0	1.862427063E0	9.572089397E0
1.518279583E-1	5.920188904E-1	9.973759460E0	2.508782959E-1	9.994463670E0
1.617989583E-1	1.038690033E0	1.045994843E1	6.771917725E-1	1.053318502E1
1.717709583E-1	1.082249451E0	1.032208511E1	1.179696808E0	1.044549614E1
1.817429583E-1	7.264393616E-1	9.862091675E0	1.630110168E0	1.002226649E1
1.917149583E-1	3.589535522E-1	9.588610382E0	1.767823792E0	9.756818009E0
2.016859583E-1	1.733395386E-1	9.367669830E0	1.720073090E0	9.525856186E0
2.116577083E-1	1.079255676E-1	9.272318115E0	1.663341064E0	9.420946590E0
2.216297083E-1	-8.217910767E-2	9.146130524E0	1.482068024E0	9.265796382E0
2.316017083E-1	-2.085163879E-1	9.030870209E0	1.434467010E0	9.146463328E0
2.415727083E-1	-3.008743286E-1	8.914711761E0	1.461860046E0	9.038785646E0
2.515447083E-1	-3.860472107E-1	8.828640747E0	1.417402496E0	8.950025683E0
2.615167083E-1	-2.465373230E-1	8.891809387E0	1.395398254E0	9.004009724E0
2.714887083E-1	8.547225952E-2	9.087751923E0	1.444945221E0	9.202304451E0
2.814597083E-1	3.375480652E-1	9.289083252E0	1.468146973E0	9.410444298E0
2.914317083E-1	5.156776428E-1	9.370214539E0	1.549727325E0	9.511492980E0
3.014037083E-1	5.689668274E-1	9.436376953E0	1.613195343E0	9.590168532E0
3.113757083E-1	5.101391602E-1	9.494905243E0	1.642684021E0	9.649449639E0
3.213467083E-1	3.406915283E-1	9.517059174E0	1.586999817E0	9.654483645E0
3.313187083E-1	1.787283325E-1	9.511969757E0	1.547182617E0	9.638635097E0
